jola       |   1:16 |    20 | 2017-05-06
fafd       |   1:48 |    30 | 2017-05-09
lju        |   3:11 |    20 | 2017-05-09
pikuś      |   5:08 |    95 | 2017-05-10
timex      |   7:11 |    35 | 2017-05-11
tomek      |   8:52 |    20 | 2017-05-10
pikip      |   8:54 |   120 | 2017-05-11
ertyu      |  10:19 |   105 | 2017-05-10
jlkj       |  11:06 |    40 | 2017-05-11
Pikuś1     |  15:17 |   100 | 2017-05-10
